expense_area,n_txn,gbp_total,n_publishers,a_publisher
Performance & Finance Directorate,171,50420008.51,1,Home Office
Performance & Reform Dir,42,3298974.1,1,Home Office
Performance Advisors Team,10,707552.8,1,UK Sport
Performance Analysis,8,968.5,1,UK Shared Business Services
Performance Analysis Group,3,312172.2,1,National Offender Management Service
Performance Information and Analysis Group,20,1405545.03,1,National Offender Management Service
Performance Management,2,11140.0,1,South Gloucestershire Council
Performance Management Support,4,234.58,1,South Gloucestershire Council
Performance Partnerships,12,388588.09,1,UK Sport
Performance Services,1,38695.15,1,UK Sport
Performance additions to WCPP,81,4959863.41,1,UK Sport
Performance and Evaluation Directorate,91,1465575.48,1,Department for Education
Performance and Finance Directorate,140,31411243.07,1,Home Office
Performance and Improvement,22,1144010.07,1,HM Revenue and Customs
Performance conference,6,359052.46,1,UK Sport
Peripheral Outpatient Sites,4,64952.95,1,Portsmouth Hospital NHS Trust
Perito Enhancements,1,156000.0,1,Home Office
Permanent Injury Benefit,18,1382965.73,1,The Pennine Acute Hospitals NHS Trust
Permanent Secretary & Ministers,4,141166.26,1,HM Treasury
Permanent Secretary & Ministersanent Secretary & Ministers,4,555716.97,1,HM Treasury
Permanent Secretary for Tax Directorates,11,191444.97,1,HM Revenue and Customs
Personal & Community Developmt Learning,17,59250.5,1,South Gloucestershire Council
"Personal Tax, Welfare & Pensions Team",2,68822.12,1,HM Treasury
Personalisation Learning,3,4887.0,1,South Gloucestershire Council
Personnel & Payroll,391,1445397.22,1,Rushmoor Borough Council
Personnel Management,434,33769872.44,1,Isle of Wight NHS Trust
Personnel Training,1,36556.03,1,Milton Keynes Hospital NHS Foundation Trust
Pest Control,4,3707.69,1,Eden District Council
Peterborough,250,74245127.88,1,National Offender Management Service
Peterborough Urban Programme ER,20,1258574.0,1,"Ministry of Housing, Communities and Local Government"
Pharmacy,243,14948224.37,5,George Eliot Hospital NHS Trust
Pharmacy Administration,60,67671401.91,1,The Pennine Acute Hospitals NHS Trust
Pharmacy Digital Medicines,2,198620.35,1,Portsmouth Hospital NHS Trust
Pharmacy SCMH,77,3702063.36,1,Coventry and Warwickshire Partnership NHS Trust
Pharmacy South Warwickshire,149,4550573.71,1,Coventry and Warwickshire Partnership NHS Trust
Pharmacy Stock,2690,123371311.89,1,East Sussex Healthcare NHS Trust
Phase 2 FIP Programme,1,321524.0,1,Milton Keynes Hospital NHS Foundation Trust
Phlebotomy,1,33600.0,1,Isle of Wight NHS Trust
Phoenix Finance,1,892919.0,1,National Offender Management Service
Phoenix HR,20,1539117.66,1,National Offender Management Service
Phoenix MSO,4,972134.38,1,National Offender Management Service
Phoenix School,98,37256.97,1,Shropshire Community Health NHS Trust
Phoenix Shared Service Centre,14,6821690.05,1,National Offender Management Service
Photographic Unit (Image Resources),134,32597.88,1,Natural History Museum
Photography,2,89499.32,1,Tate
Phsi Leadership Team,1,147126.2,1,"Department for Environment, Food and Rural Affairs"
Physiotherapy,2,21726.5,1,Portsmouth Hospital NHS Trust
Physiotherapy Bury,19,967213.56,1,The Pennine Acute Hospitals NHS Trust
Phytophthora,1,83790.0,1,"Department for Environment, Food and Rural Affairs"
Pilning Trading Standards,3,1609.96,1,South Gloucestershire Council
Place Of Safety,2,318703.72,1,Coventry and Warwickshire Partnership NHS Trust
Place of Safety,1,1244.85,1,Coventry and Warwickshire Partnership NHS Trust
Planned Care,4,383533.04,1,East Sussex Healthcare NHS Trust
Planned Care Management,73,12361.12,1,Shropshire Community Health NHS Trust
Planned Care Medical Workforce Team,1,40500.0,1,Isle of Wight NHS Trust
Planned Maintenance,334,10461074.74,2,Royal Borough of Greenwich
Planned Management Team,62,2789307.53,1,Isle of Wight NHS Trust
Planned Recovery Plan,42,2119360.61,1,Isle of Wight NHS Trust
Planning,1600,6135563.31,2,Milton Keynes Hospital NHS Foundation Trust
Planning  Advisory Service,8,6454280.23,1,"Ministry of Housing, Communities and Local Government"
Planning & Environment,9,12120.83,1,South Gloucestershire Council
Planning & Finance,10,994087.0,1,Cabinet Office
Planning & Performance,1,32400.0,1,Whittington Hospital NHS Trust
Planning Aic,8,7152148.0,1,"Ministry of Housing, Communities and Local Government"
Planning Communications,2,46500.0,1,"Ministry of Housing, Communities and Local Government"
Planning Delivery Grant,1149,236814694.2,1,"Ministry of Housing, Communities and Local Government"
Planning Inspectorate Legal,1,32325.0,1,Government Legal Department
Planning Property,24,43653.82,1,Plymouth City Council
Planning Review Savings,1,750.0,1,South Gloucestershire Council
Planning Services,484,2098854.06,2,Eden District Council
Planning Services Manager (BC),14,49110.81,1,Eden District Council
Planning and Funding,2,944506.44,1,Department for Education
Planning and Funding Team,361,103433466.26,1,Department for Education
Planning and Partnerships Team,4,2350.74,1,South Gloucestershire Council
Planning and Programmes,4,145596.13,1,Portsmouth Hospital NHS Trust
Planning and Strategic Development,1,43050.0,1,Royal United Hospital Bath NHS Foundation Trust
"Planning, Econ. Dev. & Housing",844,1517626.6,1,Blaby District Council
"Planning, Housing, Econ & Comm",424,652925.15,1,Blaby District Council
"Planning, Performance and Risk",13,402825.5,1,Department for Education
Plant/Equip,1,30429.38,1,National Offender Management Service
Play Areas,46,69921.01,1,South Gloucestershire Council
Play Areas - non council owned,26,253126.4,1,South Gloucestershire Council
Play Areas non council owned,1,17862.8,1,South Gloucestershire Council
Playing Field Contracts,10,26216.5,1,South Gloucestershire Council
Playschemes,1,512.9,1,South Gloucestershire Council
Plotter,1,1120.0,1,South Gloucestershire Council
Plymouth,2,97448.0,1,National Offender Management Service
Podiatry,13465,389124.46,1,Shropshire Community Health NHS Trust
Podiatry Equipment,1,502.45,1,South Gloucestershire Council
Podiatry Services,67271,1664183.46,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Albrighton Medical Practice Premises-Albrighton Medical Practice,1,4606.14,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Broseley Medical Practice,4,3076.06,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Church Stretton,31,620.33,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Highly Medical Practice,4,641.44,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Marden Medical Practice,3,636.21,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Pontesbury Medical Practice,4,2442.86,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-Radbrook Green Surgery,8,1125.0,1,Shropshire Community Health NHS Trust
Podiatry Services Premises-South Hermitage Chiropody,5,550.0,1,Shropshire Community Health NHS Trust
Point Of Care Testing,19,1628939.12,1,The Pennine Acute Hospitals NHS Trust
Police Data Source,98,9383884.93,1,Home Office
Police ICT,27,4469406.93,1,Home Office
Police ICT Company,126,10605010.66,1,Home Office
Police ICT Directorate,449,64631434.13,1,Home Office
Policing Policy & Practice,5,207329.74,1,Home Office
Policing Policy and Practice Directorate,126,2002802.38,1,Home Office
Policy,2,114431.88,2,Cabinet Office
Policy & Analysis,3,80196.74,1,HM Treasury
Policy & Legal,1,30162.0,1,Home Office
Policy & Planning Directorate,3,3356.93,1,Natural History Museum
Policy & Ptnrship - Business Planning,4,8016.0,1,Equality and Human Rights Commission
Policy & Ptnrship - External Affairs,8,31079.21,1,Equality and Human Rights Commission
Policy & Ptnrship - Group Director,1,11730.0,1,Equality and Human Rights Commission
Policy & Ptnrship - Helpline,1,3500.0,1,Equality and Human Rights Commission
Policy & Ptnrship - Stakeholder Relations,2,8934.0,1,Equality and Human Rights Commission
Policy & Regulation,91,6990513.81,1,"Department for Environment, Food and Rural Affairs"
Policy & Research,4,114813.0,1,"Department for Environment, Food and Rural Affairs"
Policy & Strategy,1,29944.88,1,"Department for Environment, Food and Rural Affairs"
Policy Directorate,1,28978.05,1,"Department for Environment, Food and Rural Affairs"
Policy Division,13536,9037978999.47,1,Department for International Development
Policy Relevant Info & Reporting,33,3290.65,1,"Department for Environment, Food and Rural Affairs"
Policy Team,1,33569.0,1,Cabinet Office
Policy and Research Directorate,1385,635632897.65,1,Department for International Development
Policy and Research Division Cabinet,1,445.0,1,Department for International Development
Policy relevant information & reporting,2,506.93,1,"Department for Environment, Food and Rural Affairs"
"Policy, Partner & Health Impr",387,925280.57,1,Blaby District Council
"Policy, Transformation & Equalities",1,25389.53,1,Department for Education
Pollution,34,58804.14,1,South Gloucestershire Council
Pollution Control,2,6718.7,1,Eden District Council
Pomphrey Hill Pavilion,4,2018.25,1,South Gloucestershire Council
Pomphrey/Rodway Hill Playing Field Dev.,7,6553.81,1,South Gloucestershire Council
Pontesbury Medical Practice,46,170826.85,1,Shropshire Community Health NHS Trust
Portakabin rental,1,40793.92,1,Milton Keynes Hospital NHS Foundation Trust
Portfolio Management,36,1588191.68,1,NHS Business Services Authority
Portfolio Management Board,130,4882527.33,1,Department for Education
Portfolio Manager,1,25000.0,1,"Department for Environment, Food and Rural Affairs"
Portfolios,8,390513.13,2,"Department for Environment, Food and Rural Affairs"
Portico House Substance Misuse,1535,414256.31,1,Shropshire Community Health NHS Trust
Portland,9,289483.42,1,National Offender Management Service
Post 16,65,4625930.59,1,Department for Education
Post 16 Strategy,1,21588.45,1,Department for Education
Post 16 YPLA Resources Group,123,9120381791.08,1,Department for Education
Post 16 Young People Learning Agency Resources Group,91,9410560503.71,1,Department for Education
Post 16 and Disadvantage Group,4998,733436050.4,1,Department for Education
Post COVID-19 Syndrome Clinics,161,283284.28,1,Shropshire Community Health NHS Trust
Post Grad Contract Income,1,29280.0,1,Milton Keynes Hospital NHS Foundation Trust
Post Grad Library Hosp,4,112280.37,1,Milton Keynes Hospital NHS Foundation Trust
Post Grad Medical Ctr,1,50793.36,1,Isle of Wight NHS Trust
Post Room,75,2671317.0,1,Milton Keynes Hospital NHS Foundation Trust
Post Room-Mount Mckinley,260,122007.22,1,Shropshire Community Health NHS Trust
Postage,4,415403.59,1,Northern Ireland Office
Pr. Strategy - Coordination (ABG),1,450.0,1,South Gloucestershire Council
Pr. Strategy 10/11 - Core Subjects,1,960.0,1,South Gloucestershire Council
Practical Learning,11,32544.0,1,South Gloucestershire Council
Pre 1996 Pensions,62,1017247.63,1,South Gloucestershire Council
Precepts & Levies,1,32975.0,1,Plymouth City Council
Preferred Partner,6,172913.2,1,National Offender Management Service
Premises,7,727792.27,2,Milton Keynes Hospital NHS Foundation Trust
Premises - April 2011,1,132980.83,1,National Offender Management Service
Premises - August 2011,1,132980.84,1,National Offender Management Service
Premises - July 2011,1,132980.83,1,National Offender Management Service
Premises - October 2011,1,132535.83,1,National Offender Management Service
Premises - September 2011,1,132535.83,1,National Offender Management Service
Premises Management,1871,7959139.69,1,Shropshire Community Health NHS Trust
Premises Management Premises-Euston Road,1,24785.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Halesfield 6,1,21352.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Ludlow Hospital (and LH boiler room),1,259112.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Marysville Family Medical Practice,1,759.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Montford Court (Suites 1 and 2),1,3169.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Oswestry Primary Care Centre,1,57624.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-Princess House,1,22563.0,1,Shropshire Community Health NHS Trust
Premises Management Premises-William Farr House,15,531654.18,1,Shropshire Community Health NHS Trust
Premises Recharges,3,355021.99,1,National Offender Management Service
"Premises-Longbow - Units B, C & D",4,26057.47,1,Shropshire Community Health NHS Trust
"Premises-Longbow - Units B, C & D Coral House",4,26057.47,1,Shropshire Community Health NHS Trust
"Premises-Stepping Stones Centre, Brunel Road",2,60375.17,1,Shropshire Community Health NHS Trust
Prescription Pricing,273,21231682409.36,1,NHS Business Services Authority
Prescription Pricing Division,657,50022106.63,1,NHS Business Services Authority
Press,3,60000.0,1,Tate
Press Office,8,345583.54,1,"Department for Digital, Culture, Media and Sport"
Press Office Group,88,149112.59,1,Department for Education
Pressure Relieving Equipment,31,915710.27,1,The Pennine Acute Hospitals NHS Trust
Preston,58,1729552.22,1,National Offender Management Service
Preventative Technology Grant,20,123531.89,1,South Gloucestershire Council
Prevention Community and Social Care,188,247029195.14,1,Department of Health and Social Care
Primary Care Centre,9,993599.38,1,Portsmouth Hospital NHS Trust
Primary Care Services,946,74992002682.16,1,NHS Business Services Authority
Primary Headteacher Residential,4,16814.53,1,South Gloucestershire Council
Primary School Leadership Directorate,15,10353.95,1,Department for Education
Primary School Swimming,26,153242.53,1,South Gloucestershire Council
PrimaryCare&PrevServicesMgmt,7,420569.36,1,Coventry and Warwickshire Partnership NHS Trust
Princess House,232,886674.87,1,Shropshire Community Health NHS Trust
Print & Supply,113,4299257.21,1,Ministry of Defence
Print Service Overheads,9,4682.1,1,South Gloucestershire Council
Printing,1,25880.61,1,Northern Ireland Office
Printing stationery,1,32081.0,1,National Offender Management Service
Printroom,3,92754.08,1,Isle of Wight NHS Trust
Prior year cost centres,1,39906.6,1,"Department for Environment, Food and Rural Affairs"
Priority Schools Building Programme - Capital Team 1,976,490778129.9,1,Department for Education
Priority Schools Building Programme - Capital Team 2,305,39628223.04,1,Department for Education
Priority Schools Building Programme Team,1478,381833838.79,1,Department for Education
Prison Healthcare & CSMT Management,19,158.9,1,Shropshire Community Health NHS Trust
Prison Industries,35,1729924.86,1,National Offender Management Service
Prisoner Escort & Custody Service (PECS),334,333875554.86,1,National Offender Management Service
Private Finance Initiative Programme Team,1,1367885.25,1,Department for Education
Private Housing Renewal (ISB),2,1462913.0,1,"Ministry of Housing, Communities and Local Government"
Private Office,916,798257.45,2,Department for Education
Private Sector Department,219,5013412.41,1,Department for International Development
Private Sector Department Admin,7,700.85,1,Department for International Development
Private Sector Housing,10,62929.88,1,South Gloucestershire Council
Probation Trust Unit,5,136887.83,1,National Offender Management Service
Proc Service Commercial Intelligence,2,85968.0,1,Cabinet Office
Process Automation,4,66893.25,1,UK Shared Business Services
Procurement,109,847279.72,4,"Department for Digital, Culture, Media and Sport"
Procurement Capability Team,1,29000.0,1,Cabinet Office
Procurement Department,250,278843.81,1,Department for International Development
Procurement Group,146,8026521.38,1,National Offender Management Service
Procurement Management,3,170025.0,2,"Department for Environment, Food and Rural Affairs"
Procurement Policy & Strategy,181,915060.11,1,UK Shared Business Services
Procurement Shared Service,11,802784.89,1,Whittington Hospital NHS Trust
Production,5,185449.95,1,Ministry of Defence
Production Labour,3,240213.31,1,Ministry of Defence
Production Machines,10,1142384.92,1,Ministry of Defence
Production Services,2924,30019699.39,1,UK Shared Business Services
"Products, Services & Strategy",16,595038.11,1,Ministry of Defence
Professional Education,1,100000.0,1,Portsmouth Hospital NHS Trust
Professional Services,112,566566.16,4,Cabinet Office
Professional Services CCL,2,60000.0,1,Cabinet Office
Professional Services Team,5,268278.0,1,Department for Education
Professional and Technical Education,276,17388173.7,1,Department for Education
Professional and Technical Education Group,19,881031.25,1,Department for Education
Professional fees,1,34321.0,1,UK Commission for Employment and Skills
Professional sub,2,4629.35,1,Ministry of Defence
"Professional, Management, Outsourcing & Admin Services",68,19507287.09,1,Home Office
Prog & Proj - Tech Infrastructure,1,75191.1,1,"Department for Environment, Food and Rural Affairs"
Programme,10,546477.6,3,"Department for Environment, Food and Rural Affairs"
Programme & Project Team,55,30357.08,1,"Ministry of Housing, Communities and Local Government"
Programme Advice and Support Team,122,12465699.38,1,Department for Education
Programme Delivery,1,61285.0,1,National Fraud Authority
Programme Delivery Directorate,1963,168948516.22,1,Ministry of Defence
Programme Delivery Team,21,9823273.36,1,Department for Education
Programme Management,3,110000.0,2,Cabinet Office
Programme Office,3211,411845867.23,1,Ministry of Defence
Programme Team,296,24031658.0,1,Department for Education
Programme and Data,85,16704509.14,1,HM Revenue and Customs
Programme and Operational Delivery,2510,604269892.78,1,HM Revenue and Customs
Programmes,204,12771091.41,3,Cabinet Office
